"country","arabica_robusta","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"April group",NA,40795,42533,46871,40177,39995,29402,44301,39462,50931,60992,44434,43842,61391,41194,53797,48137,58400,52994,67567,61582,69824,66406,75908,74428,68790,70857,75457,68598,78360
"Angola","(R/A)",50,79,78,33,77,62,71,64,85,55,50,21,57,38,15,25,35,36,38,13,35,29,33,35,39,41,45,35,40
"Bolivia","(A)",123,107,123,57,122,152,133,153,150,184,173,118,149,125,170,129,164,133,135,142,130,143,115,128,106,89,81,85,90
"Brazil","(A/R)",27286,27293,34603,28167,28192,18060,29197,26148,36761,47578,31310,31365,48352,28873,39281,32933,42987,38972,50490,43977,53428,50592,55420,54698,52299,52426,56764,51000,60000
"Burundi","(A)",487,667,620,393,664,434,401,250,492,351,487,144,454,338,437,103,499,133,412,112,353,204,406,163,248,274,249,176,200
"Ecuador","(A/R)",1504,2124,1185,2069,2376,1888,1993,1191,1206,1198,854,793,582,641,780,935,1035,950,771,813,854,825,828,666,644,644,645,624,640
"Indonesia","(R/A)",7441,8493,5569,6743,5368,4573,8221,7621,7296,6557,6987,6833,6731,6404,7536,9159,7483,7777,9612,11380,9129,6889,13070,12818,10862,12535,11491,10902,11500
"Madagascar","(R)",982,933,1122,442,641,785,849,624,992,427,362,147,445,435,522,599,587,614,728,457,530,585,500,584,501,425,421,407,400
"Malawi","(A)",105,124,137,62,84,91,49,61,64,59,63,60,42,48,21,24,17,19,21,17,17,26,23,28,25,21,20,12,12
"Papua New Guinea","(A/R)",963,747,900,1019,1139,1002,1089,1074,1352,1387,1041,1063,1085,1155,998,1268,807,968,1028,1038,867,1414,716,835,798,712,1171,734,800
"Paraguay","(A)",131,80,54,70,25,23,26,23,58,20,42,20,26,52,26,45,26,39,20,20,20,20,20,20,20,20,20,20,20
"Peru","(A)",937,1200,1762,665,1179,1871,1806,1930,2102,2744,2676,2829,3000,2686,3425,2489,4319,3063,3872,3286,4069,5373,4450,4106,2883,3304,4223,4280,4300
"Rwanda","(A)",535,484,639,444,22,329,293,193,223,307,273,296,320,266,450,337,351,224,369,259,323,251,259,258,238,293,231,245,270
"Timor-Leste","(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,33,37,42,17,24,46,36,48,47,60,47,61,80,111,59,82,73,80
"Zimbabwe","(A)",252,201,78,12,106,131,174,130,149,125,109,121,110,92,120,66,45,31,24,21,10,9,7,9,15,14,15,6,8
"July group",NA,3618,2927,3161,2979,3049,3469,3014,3274,2687,2860,2445,2064,2269,1956,2267,2108,2176,2254,2948,2232,1887,1775,2263,1888,1793,1986,1933,1805,NA
"Congo, Rep. of","(R)",3,3,3,3,8,12,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA
"Cuba","(A)",414,302,284,285,284,285,366,300,280,328,312,285,239,224,180,100,105,110,133,92,108,100,88,107,101,100,103,100,NA
"Dominican Republic","(A)",880,321,638,604,730,886,519,941,487,607,467,387,455,351,491,310,387,465,645,352,378,491,488,425,397,400,412,400,NA
"Haiti","(A)",393,463,500,451,450,514,428,432,439,399,420,403,374,374,365,356,362,359,359,351,350,349,350,345,343,341,342,340,NA
"Philippines","(R/A)",974,1018,920,875,877,850,890,935,677,622,341,263,255,293,355,432,441,446,587,730,189,180,177,186,193,208,215,200,NA
"Tanzania","(A/R)",932,790,786,734,679,897,764,624,739,842,809,624,824,612,763,804,822,810,1186,675,846,641,1151,811,753,930,846,750,NA
"Zambia","(A)",23,29,29,27,21,26,33,38,62,59,93,100,119,100,110,103,56,61,35,28,13,11,5,11,3,4,13,12,NA
"October group",NA,48689,55645,48739,47491,50173,54185,55937,56931,55398,67725,66793,62229,59002,62356,60161,61558,69283,66672,63605,64192,67775,76267,73088,77750,77976,80718,81657,88157,NA
"Benin","(R)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Cameroon","(R/A)",1682,1726,260,683,406,660,1432,889,1114,1370,1113,686,801,900,727,870,818,795,725,902,527,669,371,404,483,391,292,375,NA
"Central African Republic","(R)",175,125,134,166,250,108,208,114,215,241,113,68,92,43,29,23,114,43,60,112,78,91,23,90,63,100,37,50,NA
"Colombia","(A)",14268,17815,15189,10298,12862,12963,10719,12219,10979,9679,10400,11962,11735,11230,11573,12564,11759,12515,8663,8098,8523,7652,9927,12163,13339,14009,14634,14000,NA
"Congo, Dem. Rep. of","(R/A)",1580,1230,1180,980,1298,1098,795,811,738,477,363,423,338,451,360,336,378,416,422,346,305,357,334,347,335,371,324,335,NA
"Costa Rica","(A)",2562,2760,2998,2359,2482,2844,2222,2617,2445,2485,2419,2247,2043,1886,1876,1653,1706,1797,1500,1477,1614,1831,1823,1552,1475,1440,1372,1560,NA
"C<f4>te d'Ivoire","(R)",2940,4129,2246,2293,3006,2532,4859,4164,1992,6320,4846,3596,3010,2981,2136,2099,2848,1338,2526,1989,837,2216,1994,2598,1728,1289,817,1300,NA
"El Salvador","(A)",2465,2198,3001,2378,2293,2585,2534,2175,2055,2598,1704,1694,1361,1380,1197,1319,1234,1505,1450,1075,1873,1164,1240,515,665,565,610,740,NA
"Equatorial Guinea","(R)",4,3,2,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Ethiopia","(A)",2909,2925,1825,2967,2763,3165,3407,3057,2928,3784,3115,4044,4094,4394,5213,4779,5551,5967,4949,6931,7500,6798,6233,6427,6575,6714,7297,7650,NA
